"video_id","video_title","video_description","video_published_date","video_total_views","video_total_likes","playlist_id","playlist_title","channel_id","channel_title"
"YyS7cqFRUvI","Happy Days Theme (Sitcom Cover) - Dead Dogs 50's Party","Happy Days Theme (Sitcom Cover)
Dead Dogs 50's Party - Live at Cascina Bruciata (June ‎11, ‎2016)
#happydaystheme #deaddogsband",2016-07-27,18243,105,"PLhIw1_0YGPER3H3lpApMLkc2d676B-lpD","Dead Dogs 2016 50's Party - Live at Cascina Bruciata","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"q2wmXFqh0P4","You Shook Me All Night Long (AC/DC Cover) - Dead Dogs 2017 1st Country Event","You Shook Me All Night Long (AC/DC Cover)
Dead Dogs 1st Country Event - Live at Il Nuovo Boscaccio (June ‎16, ‎2017)
#youshookmeallnightlong #acdc #deaddogsband",2017-07-12,4682,31,"PLhIw1_0YGPERgIZrg9wvCdefjvdmmbfiH","Dead Dogs 2017 1st Country Event - Live at Il Nuovo Boscaccio","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"2_44dIc7J0k","Get Over It (Eagles Cover) - Dead Dogs 2017 1st Country Event","Dead Dogs 1st Country Event - Live at Il Nuovo Boscaccio (June ‎16, ‎2017)",2017-07-14,1514,9,"PLhIw1_0YGPERgIZrg9wvCdefjvdmmbfiH","Dead Dogs 2017 1st Country Event - Live at Il Nuovo Boscaccio","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"KfPB2Oy17D4","You Shook Me All Night Long (AC/DC Cover) - Dead Dogs 2019 Christmas Party","You Shook Me All Night Long (AC/DC Cover)
Dead Dogs 2019 Christmas Party - Live at Dundee Pub (December ‎21, ‎2019)
#youshookmeallnightlong #acdc #deaddogsband",2020-01-24,940,12,"PLhIw1_0YGPETya3CXmcudNLE0edFQ3307","Dead Dogs 2019 Christmas Party - Live at Dundee Pub","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"29laglX3M1g","Svalutation (Adriano Celentano Cover) - Dead Dogs 2019 Christmas Party","Dead Dogs 2019 Christmas Party - Live at Dundee Pub (December ‎21, ‎2019)",2020-01-24,920,5,"PLhIw1_0YGPETya3CXmcudNLE0edFQ3307","Dead Dogs 2019 Christmas Party - Live at Dundee Pub","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"ESPPyOQmHgU","Jumpin' Jack Flash Take #1 (The Rolling Stones Cover) - Just Landed","This is the take #1 of Jumpin' Jack Flash (The Rolling Stones Cover).
This take will be improved in the next future adding more armonies and solos.
#jumpingjackflash #rollingstones #justlanded

Alessandro Speranza: bass guitar, 1st & 2nd rhythm guitar, lead guitar, piano, organ
Backing track: drums, lead vocal & chorus

Multitrack recording with Reaper.",2022-03-06,831,15,"PLhIw1_0YGPERpc1xMlTCGJfA7xoiHX7Pc","Just Landed","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"coeL6tmZ-ow","Bad Case Of Loving You (Doctor, Doctor) (Robert Palmer Cover) - Dead Dogs 2018 Halloween Party","Dead Dogs 2018 Halloween Party - Live at Dundee Pub (October ‎31, ‎2018)
Bad Case Of Loving You (Doctor, Doctor) (Robert Palmer Cover)
#badcaseoflovingyou #robertpalmer #deaddogsband",2019-03-04,799,44,"PLhIw1_0YGPEQyp_iflLtD4TAXAm8_pZVk","Dead Dogs 2018 Halloween Party - Live at Dundee Pub","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"rla42H9Bqrk","You Shook Me All Night Long (AC/DC Cover) - Dead Dogs 50's Party","You Shook Me All Night Long (AC/DC Cover)
Dead Dogs 50's Party - Live at Cascina Bruciata (June ‎11, ‎2016)
#youshookmeallnightlong #acdc #deaddogsband",2016-07-28,753,5,"PLhIw1_0YGPER3H3lpApMLkc2d676B-lpD","Dead Dogs 2016 50's Party - Live at Cascina Bruciata","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"rZfCO3Jxb5E","Whole Lotta Shakin' Goin' On (Jerry Lee Lewis Cover) - Dead Dogs 2019 Christmas Party","Dead Dogs 2019 Christmas Party - Live at Dundee Pub (December ‎21, ‎2019)
#wholelottashakingoinon #jerryleelewis #deaddogsband",2020-01-24,614,3,"PLhIw1_0YGPETya3CXmcudNLE0edFQ3307","Dead Dogs 2019 Christmas Party - Live at Dundee Pub","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"0nahr_sM6FU","Highway To Hell (AC/DC Cover) - Dead Dogs 2019 Rehearsals","Highway To Hell (AC/DC Cover) - Dead Dogs Rehearsals for 2019 Christmas Party (June ‎23, ‎2019)
Watch the live version on YouTube: https://youtu.be/7b8nt_5SIOM
#highwaytohell #acdc #deaddogsband",2021-04-29,363,6,"PLhIw1_0YGPETy5UGqmewQzcmeBZhU69db","Studio Recordings & Rehearsals","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"Q9LfyV8U80g","Country As Boy Can Be (Brady Seals Cover) - Dead Dogs 2017 1st Country Event","Dead Dogs 1st Country Event - Live at Il Nuovo Boscaccio (June ‎16, ‎2017)",2017-07-12,297,2,"PLhIw1_0YGPERgIZrg9wvCdefjvdmmbfiH","Dead Dogs 2017 1st Country Event - Live at Il Nuovo Boscaccio","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"bJz5il-6eqc","Little Sister (Elvis Presley Cover) - Gnappoland","#littlesister  #elvispresley  #gnappoland

Gnappoland are:
Filippo Gobbi: lead vocal, bass guitar
Alessandro Speranza: lead & rhythm guitar, backing vocal
Backing track: drums

Multitrack recording with Reaper.",2022-09-04,272,19,"PLhIw1_0YGPEQcGnrfiwJfOUSWfo48QCNn","Gnappoland","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"pF-XLtJF8Zo","Bad Case Of Loving You (Doctor, Doctor) (Robert Palmer Cover) - Dead Dogs 2017 1st Country Event","Dead Dogs 1st Country Event - Live at Il Nuovo Boscaccio (June ‎16, ‎2017)
Bad Case Of Loving You (Doctor, Doctor) (Robert Palmer Cover)
#badcaseoflovingyou #robertpalmer #deaddogsband",2017-07-12,258,3,"PLhIw1_0YGPERgIZrg9wvCdefjvdmmbfiH","Dead Dogs 2017 1st Country Event - Live at Il Nuovo Boscaccio","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"Ephlbmqq2ac","I've Got A Feeling (The Beatles Cover) - Gnappoland","#thebeatles  #IveGotAFeeling  #Gnappoland

Gnappoland are:
Filippo Gobbi: lead vocal, bass guitar
Alessandro Speranza: lead vocal, lead & rhythm guitars, electric piano
Backing track: drums

Multitrack recording with Reaper. 
Every sigle track is recorded since the beginning to the end without breaks, cut and paste or other effects.",2022-11-13,243,6,"PLhIw1_0YGPEQcGnrfiwJfOUSWfo48QCNn","Gnappoland","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"OjQcBuEo7WE","High Voltage (AC/DC Cover) - Dead Dogs Camilla's Degree Party","High Voltage (AC/DC Cover)
Dead Dogs Camilla's Degree Party - Live at Rocca Brivio (September ‎23, ‎2016)
#highvoltage #acdc #deaddogsband",2017-02-07,232,1,"PLhIw1_0YGPEQsx48wV5tLpmYbAA5BfW53","Dead Dogs 2016 Camilla's Degree Party - Live at Rocca Brivio","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"uXErr-IFft0","Waterloo (Abba Cover) - Dead Dogs 2017 Rehearsals","Waterloo (Abba Cover) - Dead Dogs Rehearsals for 2017 Christmas Party (December ‎16, ‎2017)
Watch the live version on YouTube: https://youtu.be/mu6ksUWAtFY
#waterloo #abba #deaddogsband",2020-08-26,230,6,"PLhIw1_0YGPETy5UGqmewQzcmeBZhU69db","Studio Recordings & Rehearsals","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"mSMAb8gzsyE","Harden My Heart (Quarterflash Cover) - Dead Dogs 50's Party","Dead Dogs 50's Party - Live at Cascina Bruciata (June ‎11, ‎2016)",2016-07-27,212,2,"PLhIw1_0YGPER3H3lpApMLkc2d676B-lpD","Dead Dogs 2016 50's Party - Live at Cascina Bruciata","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"mu6ksUWAtFY","Waterloo (Abba Cover) - Dead Dogs 2017 Christmas Party","Dead Dogs 2017 Christmas Party - Live at Dundee Pub (December ‎17, ‎2017)",2017-12-28,203,1,"PLhIw1_0YGPEQLnaY_Nknm4RA8LLkbFkbN","Dead Dogs 2017 Christmas Party - Live at Dundee Pub","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
"Yza22aFs45g","Redneck Woman (Gretchen Wilson Cover) - Dead Dogs 2017 1st Country Event","Dead Dogs 1st Country Event - Live at Il Nuovo Boscaccio (June ‎16, ‎2017)",2017-07-12,195,6,"PLhIw1_0YGPERgIZrg9wvCdefjvdmmbfiH","Dead Dogs 2017 1st Country Event - Live at Il Nuovo Boscaccio","UC6CV_32l8omBfcliOOQnIew","Alessandro Speranza"
